"ID","Race","Gender","Afqt80","Afqt89","Afqt_06","Voted","PolitAffil","PolitStrength","ClosestParty","FollowsPolit","FedGovActsForPpl","label","Afqt06","Polit_Strength","Follows_Polit","Polit_Affil","Closest_Party","Intell","Strength","Orientation"
"24","3","1","66","61","66029",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","66.029",".",".",".",".","66.029",".","."
"25","3","2","60","57","51390","0.718201162","1","2",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","51.39","-1.200377928","0.510399862","-1",".","51.39","0.0094076986","-1"
"26","3","1","96","96","97075",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","97.075",".",".",".",".","97.075",".","."
"27","3","2","85","97","96674","0.718201162","3",".","2","2","4","RACL/ETHNIC COHORT /SCRNR 79","96.674",".","0.510399862",".","-1","96.674","0.614300512","-1"
"28","3","2","93","93","92784",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","92.784",".",".",".",".","92.784",".","."
"29","3","2","18","13","25905","0.718201162","1","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","25.905","0.8329071367","0.510399862","-1",".","25.905","0.6871693869","-1"
"30","3","2","14","9","8528","0.718201162","5",".","4","4","4","RACL/ETHNIC COHORT /SCRNR 79","8.528",".","-1.157831463","0","0","8.528","-0.21981515","0"
"31","1","1",".",".",".","0.718201162","1","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79",".","-1.200377928","0.510399862","-1",".",".","0.0094076986","-1"
"32","1","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"33","1","1",".",".",".","-1.600838954","5",".","4","5","4","RACL/ETHNIC COHORT /SCRNR 79",".",".","-1.991947125","0","0",".","-1.796393039","0"
"34","3","1","15","13","6069","0.718201162","1","2",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","6.069","-1.200377928","-1.157831463","-1",".","6.069","-0.54666941","-1"
"35","3","2","45","44","53046",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","53.046",".",".",".",".","53.046",".","."
"36","3","1",".",".",".","-1.600838954","3",".","4","5","5","RACL/ETHNIC COHORT /SCRNR 79",".",".","-1.991947125",".","0",".","-1.796393039","0"
"37","3","2","60","59","56290","0.718201162","0",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","56.29",".","-1.157831463",".","0","56.29","-0.21981515","0"
"38","3","2","17","13","12788","-0.05481221","1","1",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","12.788","0.8329071367","-0.3237158","-1",".","12.788","0.1514597088","-1"
"39","3","1","35","29","26851","0.718201162","3",".","1","1","3","RACL/ETHNIC COHORT /SCRNR 79","26.851",".","1.3445155243",".","1","26.851","1.0313583431","1"
"40","3","1","38","38","38419","0.718201162","2","1",".","2","2","RACL/ETHNIC COHORT /SCRNR 79","38.419","0.8329071367","0.510399862","1",".","38.419","0.6871693869","1"
"41","3","1","45","54","57095","-1.600838954","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","57.095","-1.200377928","-0.3237158","1",".","57.095","-1.041644227","1"
"42","3","1","20","16","22326","0.718201162","2","2",".","2","2","RACL/ETHNIC COHORT /SCRNR 79","22.326","-1.200377928","0.510399862","1",".","22.326","0.0094076986","1"
"43","3","2","9","13","15325","-1.600838954","3",".","4","4","4","RACL/ETHNIC COHORT /SCRNR 79","15.325",".","-1.157831463",".","0","15.325","-1.379335208","0"
"44","3","2","42","37","37061","0.718201162","2","1",".","2","2","RACL/ETHNIC COHORT /SCRNR 79","37.061","0.8329071367","0.510399862","1",".","37.061","0.6871693869","1"
"45","3","1","43","49","50629",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","50.629",".",".",".",".","50.629",".","."
"46","3","2","58","63","78095","-1.600838954","1","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","78.095","-1.200377928","-0.3237158","-1",".","78.095","-1.041644227","-1"
"47","3","1","78","77","75473","-1.600838954","2","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","75.473","0.8329071367","0.510399862","1",".","75.473","-0.085843985","1"
"48","3","1","36","32","24806",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","24.806",".",".",".",".","24.806",".","."
"49","3","2","81","66","71226","0.718201162","2","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","71.226","0.8329071367","1.3445155243","1",".","71.226","0.965207941","1"
"50","3","2","87","79","78742","0.718201162","1","1",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","78.742","0.8329071367","-0.3237158","-1",".","78.742","0.4091308328","-1"
"51","3","1",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"52","3","1","89","86","69080",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","69.08",".",".",".",".","69.08",".","."
"53","1","1","38","41","43641","-1.600838954","3",".","3","2","5","RACL/ETHNIC COHORT /SCRNR 79","43.641",".","0.510399862",".","0","43.641","-0.545219546","0"
"54","3","1",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"55","3","1",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"56","3","2","44","56","76020",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","76.02",".",".",".",".","76.02",".","."
"57","3","2","38","38","30830","0.718201162","1","2",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","30.83","-1.200377928","0.510399862","-1",".","30.83","0.0094076986","-1"
"58","3","2","96","87","91625","0.718201162","2","2",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","91.625","-1.200377928","1.3445155243","1",".","91.625","0.2874462527","1"
"59","3","1","96","97","98841","0.718201162","2",".",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","98.841",".","0.510399862","1",".","98.841","0.614300512","1"
"60","3","1","68","75","82980",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","82.98",".",".",".",".","82.98",".","."
"61","3","2","99","99","99150","0.718201162","3",".","3","2","2","RACL/ETHNIC COHORT /SCRNR 79","99.15",".","0.510399862",".","0","99.15","0.614300512","0"
"62","3","2","30","31","36384","0.718201162","3",".","3","3","5","RACL/ETHNIC COHORT /SCRNR 79","36.384",".","-0.3237158",".","0","36.384","0.1972426808","0"
"63","3","1","95","91","87934","0.718201162","3",".","1","3","3","RACL/ETHNIC COHORT /SCRNR 79","87.934",".","-0.3237158",".","1","87.934","0.1972426808","1"
"64","3","1","79","88","92989",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","92.989",".",".",".",".","92.989",".","."
"65","3","2","72","71","75171",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","75.171",".",".",".",".","75.171",".","."
"66","3","1","14","18","22649","0.718201162","3",".","1","3","4","RACL/ETHNIC COHORT /SCRNR 79","22.649",".","-0.3237158",".","1","22.649","0.1972426808","1"
"67","3","1","99","99","93246","0.718201162","3",".","3","2","4","RACL/ETHNIC COHORT /SCRNR 79","93.246",".","0.510399862",".","0","93.246","0.614300512","0"
"68","3","2","99","99","100000","0.718201162","3",".","2","3","3","RACL/ETHNIC COHORT /SCRNR 79","100",".","-0.3237158",".","-1","100","0.1972426808","-1"
"69","3","1","72","78","86703","0.718201162","3",".","4","2","3","RACL/ETHNIC COHORT /SCRNR 79","86.703",".","0.510399862",".","0","86.703","0.614300512","0"
"70","3","1",".",".",".","0.718201162","3",".","1","3","4","RACL/ETHNIC COHORT /SCRNR 79",".",".","-0.3237158",".","1",".","0.1972426808","1"
"71","3","1","99","99","98077",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","98.077",".",".",".",".","98.077",".","."
"72","3","2","91","84","80538","0.718201162","2","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","80.538","-1.200377928","0.510399862","1",".","80.538","0.0094076986","1"
"73","3","1","64","71","81527","0.718201162","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","81.527","0.8329071367","1.3445155243","-1",".","81.527","0.965207941","-1"
"74","3","2","88","93","95536",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","95.536",".",".",".",".","95.536",".","."
"75","3","2","65","68","83379","0.718201162","1","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","83.379","0.8329071367","0.510399862","-1",".","83.379","0.6871693869","-1"
"76","3","1","27","31","42780","0.718201162","1","2",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","42.78","-1.200377928","0.510399862","-1",".","42.78","0.0094076986","-1"
"77","3","2","60","84","96835","0.718201162","2","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","96.835","-1.200377928","-0.3237158","1",".","96.835","-0.268630856","1"
"78","3","2","78","88","85347",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","85.347",".",".",".",".","85.347",".","."
"79","3","1","97","96","96084",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","96.084",".",".",".",".","96.084",".","."
"80","3","1","60","70","78759","0.718201162","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","78.759","0.8329071367","1.3445155243","-1",".","78.759","0.965207941","-1"
"81","3","1","21","21","29497",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","29.497",".",".",".",".","29.497",".","."
"82","2","1","1","2","2168","-1.600838954","5",".","4","2","2","RACL/ETHNIC COHORT /SCRNR 79","2.168",".","0.510399862","0","0","2.168","-0.545219546","0"
"83","2","1","4","4","2366","-1.600838954","1","2",".","4","5","RACL/ETHNIC COHORT /SCRNR 79","2.366","-1.200377928","-1.157831463","-1",".","2.366","-1.319682781","-1"
"84","2","1","13","12","21008","-1.600838954","1","1",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","21.008","0.8329071367","1.3445155243","-1",".","21.008","0.1921945691","-1"
"85","2","1","1","1","2427","-1.600838954","5",".","4","4","4","RACL/ETHNIC COHORT /SCRNR 79","2.427",".","-1.157831463","0","0","2.427","-1.379335208","0"
"86","2","2","1","3","7198","-1.600838954","1","1",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","7.198","0.8329071367","0.510399862","-1",".","7.198","-0.085843985","-1"
"87","2","1","2","3","12463","0.718201162","1","1",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","12.463","0.8329071367","-1.157831463","-1",".","12.463","0.1310922787","-1"
"88","2","1","88","92","80798","0.718201162","1","1",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","80.798","0.8329071367","-1.157831463","-1",".","80.798","0.1310922787","-1"
"89","2","2","84","80","84980","-0.827825582","3",".","2","1","4","RACL/ETHNIC COHORT /SCRNR 79","84.98",".","1.3445155243",".","-1","84.98","0.2583449713","-1"
"90","3","1","74","89","80298","0.718201162","3",".","2","3","4","RACL/ETHNIC COHORT /SCRNR 79","80.298",".","-0.3237158",".","-1","80.298","0.1972426808","-1"
"91","3","2","19","15","22823","0.718201162","1","1",".","4","4","RACL/ETHNIC COHORT /SCRNR 79","22.823","0.8329071367","-1.157831463","-1",".","22.823","0.1310922787","-1"
"92","3","2","33","37","44375","0.718201162","1","2",".","4","3","RACL/ETHNIC COHORT /SCRNR 79","44.375","-1.200377928","-1.157831463","-1",".","44.375","-0.54666941","-1"
"93","3","1","15","18","28438","-1.600838954","1","1",".","2","4","RACL/ETHNIC COHORT /SCRNR 79","28.438","0.8329071367","0.510399862","-1",".","28.438","-0.085843985","-1"
"94","3","1",".",".",".","0.718201162","4",".","4","4","5","RACL/ETHNIC COHORT /SCRNR 79",".",".","-1.157831463",".","0",".","-0.21981515","0"
"95","3","2","27","26","34573","0.718201162","3",".","4","3","3","RACL/ETHNIC COHORT /SCRNR 79","34.573",".","-0.3237158",".","0","34.573","0.1972426808","0"
"96","3","2","36","32","36772","0.718201162","3",".","2","3","4","RACL/ETHNIC COHORT /SCRNR 79","36.772",".","-0.3237158",".","-1","36.772","0.1972426808","-1"
"97","3","2","60","65","59411","0.718201162","3",".","0","3","4","RACL/ETHNIC COHORT /SCRNR 79","59.411",".","-0.3237158",".",".","59.411","0.1972426808","."
"98","3","2","72","71","69552","-1.600838954","1","1",".","1","5","RACL/ETHNIC COHORT /SCRNR 79","69.552","0.8329071367","1.3445155243","-1",".","69.552","0.1921945691","-1"
"99","3","2",".",".",".","0.718201162","3",".","0","4","4","RACL/ETHNIC COHORT /SCRNR 79",".",".","-1.157831463",".",".",".","-0.21981515","."
"100","3","2","35","29","40421","-1.600838954","1","1",".","2","5","RACL/ETHNIC COHORT /SCRNR 79","40.421","0.8329071367","0.510399862","-1",".","40.421","-0.085843985","-1"
"101","3","1","74","93","87368",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","87.368",".",".",".",".","87.368",".","."
"102","3","2","40","50","56649","0.718201162","1","1",".","4",".","RACL/ETHNIC COHORT /SCRNR 79","56.649","0.8329071367","-1.157831463","-1",".","56.649","0.1310922787","-1"
"103","3","1","65","84","76421","-1.600838954","1","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","76.421","-1.200377928","-0.3237158","-1",".","76.421","-1.041644227","-1"
"104","3","2","41","50","48175",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","48.175",".",".",".",".","48.175",".","."
"105","3","2","93","85","81787","0.718201162","2","1",".","4","5","RACL/ETHNIC COHORT /SCRNR 79","81.787","0.8329071367","-1.157831463","1",".","81.787","0.1310922787","1"
"106","3","1","98","94","87651","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","87.651","-1.200377928","-0.3237158","1",".","87.651","-0.268630856","1"
"107","3","1","67","58","65347","0.718201162","2","1",".","1","2","RACL/ETHNIC COHORT /SCRNR 79","65.347","0.8329071367","1.3445155243","1",".","65.347","0.965207941","1"
"108","3","1","99","93","96818","0.718201162","1","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","96.818","-1.200377928","0.510399862","-1",".","96.818","0.0094076986","-1"
"109","3","2","46","50","57445",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","57.445",".",".",".",".","57.445",".","."
"110","3","1","75","75","64697","0.718201162","2","2",".","3","3","RACL/ETHNIC COHORT /SCRNR 79","64.697","-1.200377928","-0.3237158","1",".","64.697","-0.268630856","1"
"111","3","2","33","42","46195","0.718201162","0",".","2","2","2","RACL/ETHNIC COHORT /SCRNR 79","46.195",".","0.510399862",".","-1","46.195","0.614300512","-1"
"112","3","2","28","32","39529","0.718201162","3",".","3","3","4","RACL/ETHNIC COHORT /SCRNR 79","39.529",".","-0.3237158",".","0","39.529","0.1972426808","0"
"113","3","1","63","59","64537",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","64.537",".",".",".",".","64.537",".","."
"114","3","1","76","73","75984",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","75.984",".",".",".",".","75.984",".","."
"115","3","2","59","80","85492",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","85.492",".",".",".",".","85.492",".","."
"116","3","2","50","55","62654",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","62.654",".",".",".",".","62.654",".","."
"117","3","1","92","97","98349","0.718201162","4",".","1","2","2","RACL/ETHNIC COHORT /SCRNR 79","98.349",".","0.510399862",".","1","98.349","0.614300512","1"
"118","3","2","31","30","29212",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","29.212",".",".",".",".","29.212",".","."
"119","3","1","27","35","27671","0.718201162","3",".","3","1","5","RACL/ETHNIC COHORT /SCRNR 79","27.671",".","1.3445155243",".","0","27.671","1.0313583431","0"
"120","3","1","98","97","97847","0.718201162","1","2",".","3","4","RACL/ETHNIC COHORT /SCRNR 79","97.847","-1.200377928","-0.3237158","-1",".","97.847","-0.268630856","-1"
"121","3","2","81","84","92618","0.718201162","1","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","92.618","0.8329071367","1.3445155243","-1",".","92.618","0.965207941","-1"
"122","3","1","63","56","52132","-1.600838954","3",".","1","4","4","RACL/ETHNIC COHORT /SCRNR 79","52.132",".","-1.157831463",".","1","52.132","-1.379335208","1"
"123","3","1","90","89","92204",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","92.204",".",".",".",".","92.204",".","."
"124","3","2","29","36","40114","0.718201162","3",".","0","2","5","RACL/ETHNIC COHORT /SCRNR 79","40.114",".","0.510399862",".",".","40.114","0.614300512","."
"125","3","1","25","33","32107",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","32.107",".",".",".",".","32.107",".","."
"126","3","1","72","71","67259","-0.827825582","3",".","1","3","3","RACL/ETHNIC COHORT /SCRNR 79","67.259",".","-0.3237158",".","1","67.259","-0.575770691","1"
"127","3","1","34","39","36287",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","36.287",".",".",".",".","36.287",".","."
"128","3","2","89","71","59846","0.718201162","3",".","3","3","5","RACL/ETHNIC COHORT /SCRNR 79","59.846",".","-0.3237158",".","0","59.846","0.1972426808","0"
"129","3","1","73","92","92817","0.718201162","1","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","92.817","0.8329071367","1.3445155243","-1",".","92.817","0.965207941","-1"
"130","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"131","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"132","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"133","3","2","49","44","57983","0.718201162","1","1",".","2","5","RACL/ETHNIC COHORT /SCRNR 79","57.983","0.8329071367","0.510399862","-1",".","57.983","0.6871693869","-1"
"134","3","1","46","50","47098",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","47.098",".",".",".",".","47.098",".","."
"135","3","1","32","29","38315","-1.600838954","5",".","4","3","4","RACL/ETHNIC COHORT /SCRNR 79","38.315",".","-0.3237158","0","0","38.315","-0.962277377","0"
"136","3","2","13","10","5875","-0.827825582","1","2",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","5.875","-1.200377928","1.3445155243","-1",".","5.875","-0.227895995","-1"
"137","3","2","89","87","87283","0.718201162","3",".","0","5","3","RACL/ETHNIC COHORT /SCRNR 79","87.283",".","-1.991947125",".",".","87.283","-0.636872981","."
"138","3","2","79","80","88326","0.718201162","0",".","3","3","3","RACL/ETHNIC COHORT /SCRNR 79","88.326",".","-0.3237158",".","0","88.326","0.1972426808","0"
"139","3","1","69","64","79832","-1.600838954","1","2",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","79.832","-1.200377928","1.3445155243","-1",".","79.832","-0.485567119","-1"
"140","3","2","65","74","72878","0.718201162","2","2",".","1","4","RACL/ETHNIC COHORT /SCRNR 79","72.878","-1.200377928","1.3445155243","1",".","72.878","0.2874462527","1"
"141","3","2","71","81","85861",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","85.861",".",".",".",".","85.861",".","."
"142","3","1",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"143","3","2","66","63","59838","0.718201162","3",".","3","3","4","RACL/ETHNIC COHORT /SCRNR 79","59.838",".","-0.3237158",".","0","59.838","0.1972426808","0"
"144","3","2","28","29","37874",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","37.874",".",".",".",".","37.874",".","."
"145","3","1","51","52","62607","-0.05481221","3",".","1","3","4","RACL/ETHNIC COHORT /SCRNR 79","62.607",".","-0.3237158",".","1","62.607","-0.189264005","1"
"146","3","1","74","84","86932","0.718201162","2","1",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","86.932","0.8329071367","1.3445155243","1",".","86.932","0.965207941","1"
"147","3","2","32","25","22466","0.718201162","3",".","2","2","3","RACL/ETHNIC COHORT /SCRNR 79","22.466",".","0.510399862",".","-1","22.466","0.614300512","-1"
"148","3","1","64","65","74997","0.718201162","3",".","3","4","4","RACL/ETHNIC COHORT /SCRNR 79","74.997",".","-1.157831463",".","0","74.997","-0.21981515","0"
"149","3","2","30","29","39973","0.718201162","3",".","2","1","3","RACL/ETHNIC COHORT /SCRNR 79","39.973",".","1.3445155243",".","-1","39.973","1.0313583431","-1"
"150","3","1","42","41","38129","0.718201162","3",".","4","2","4","RACL/ETHNIC COHORT /SCRNR 79","38.129",".","0.510399862",".","0","38.129","0.614300512","0"
"151","3","2","34","33","28478",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","28.478",".",".",".",".","28.478",".","."
"152","3","2","94","92","93332","0.718201162","3",".","2","3","4","RACL/ETHNIC COHORT /SCRNR 79","93.332",".","-0.3237158",".","-1","93.332","0.1972426808","-1"
"153","3","2",".",".",".","-1.600838954","5",".","4","5","5","RACL/ETHNIC COHORT /SCRNR 79",".",".","-1.991947125","0","0",".","-1.796393039","0"
"154","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
"155","3","1","34","35","47003",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","47.003",".",".",".",".","47.003",".","."
"156","3","1","7","6","4975","-1.600838954","2","1",".","5","5","RACL/ETHNIC COHORT /SCRNR 79","4.975","0.8329071367","-1.991947125","1",".","4.975","-0.919959647","1"
"157","3","2","47","47","43873","0.718201162","1","2",".","2","3","RACL/ETHNIC COHORT /SCRNR 79","43.873","-1.200377928","0.510399862","-1",".","43.873","0.0094076986","-1"
"158","3","2","86","85","85206","0.718201162","3",".","2","2","3","RACL/ETHNIC COHORT /SCRNR 79","85.206",".","0.510399862",".","-1","85.206","0.614300512","-1"
"159","3","2","95","93","89686",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","89.686",".",".",".",".","89.686",".","."
"160","3","2","85","80","77440","-1.600838954","3",".","1","1","5","RACL/ETHNIC COHORT /SCRNR 79","77.44",".","1.3445155243",".","1","77.44","-0.128161715","1"
"161","3","2","29","31","47296","-0.05481221","1","2",".","5","4","RACL/ETHNIC COHORT /SCRNR 79","47.296","-1.200377928","-1.991947125","-1",".","47.296","-1.082379088","-1"
"162","3","1","92","98","98253",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","98.253",".",".",".",".","98.253",".","."
"163","3","1","63","77","86427",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","86.427",".",".",".",".","86.427",".","."
"164","3","2","20","21","22240",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","22.24",".",".",".",".","22.24",".","."
"165","3","2","50","43","46506","0.718201162","2","2",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","46.506","-1.200377928","1.3445155243","1",".","46.506","0.2874462527","1"
"166","3","1","64","57","58432","0.718201162","2","2",".","1","3","RACL/ETHNIC COHORT /SCRNR 79","58.432","-1.200377928","1.3445155243","1",".","58.432","0.2874462527","1"
"167","3","2","30","28","33598",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","33.598",".",".",".",".","33.598",".","."
"168","2","1","16","21","19981",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","19.981",".",".",".",".","19.981",".","."
"169","2","2","17","17","18862",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79","18.862",".",".",".",".","18.862",".","."
"170","3","2",".",".",".",".",".",".",".",".",".","RACL/ETHNIC COHORT /SCRNR 79",".",".",".",".",".",".",".","."
